title,count,permission
Kaypay,12,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CAMERA,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.olive.kotak.upi.permission.C2D_MESSAGE"
IndusPay UPI App,10,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE"
"Pockets-UPI,Wallet,QR Payments",24,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.DISABLE_KEYGUARD,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.NFC,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_PROFILE,android.permission.READ_SMS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_SMS,android.permission.RECORD_AUDIO,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.icicibank.pockets.permission.C2D_MESSAGE"
CSB-UPI,22,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_CORSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.NETWORK,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.lcode.csbupi.permission.C2D_MESSAGE"
TranZapp - UPI,21,"android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.CAMERA,android.permission.CHANGE_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_OWNER_DATA,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,com.google.android.c2dm.permission.RECEIVE,in.co.finacus.tjsbbankpsp.permission.C2D_MESSAGE"
IDFC Bank UPI App,12,"android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CALL_PHONE,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_INTERNAL_STORAGE,com.fss.idfcpsp.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
KBL SMARTz (UPI),15,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.lcode.smartz.permission.C2D_MESSAGE"
Cent UPI,17,"android.pbermission.WRITE_SMS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.infrasofttech.centralbankupi.permission.C2D_MESSAGE"
DENA BANK E-UPI,12,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.dena.upi.gui.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
UPI Bank Transfer with Friends,24,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_INTERNAL_STORAGE,android.provider.MediaStore.Images.Media.EXTERNAL_CONTENT_URI,com.app.mypoolin.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
Allahabad Bank UPI,22,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_CORSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.NETWORK,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.lcode.allahabadupi.permission.C2D_MESSAGE"
UPI :: United UPI,17,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_INTERNAL_STORAGE,com.fss.unbipsp.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES"
Union Bank UPI App,17,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_INTERNAL_STORAGE,com.fss.ubipsp.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES"
iMobile by ICICI Bank,27,"android.hardware.camera.autofocus,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.READ_CALENDAR,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,com.android.alarm.permission.SET_ALARM,com.csam.icici.bank.imobile.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
UPI Social Payments & Split,20,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.android.vending.CHECK_LICENSE,com.cheripo.letspool.android.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.gms.permission.ACTIVITY_RECOGNITION"
Indian Bank UPI,17,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,com.google.android.c2dm.permission.RECEIVE,com.infrasofttech.indianbankupi.permission.C2D_MESSAGE"
UPI Money Transfer – Trupay,21,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_LOGS,android.permission.READ_PHONE_STATE,android.permission.READ_PROFILE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.protinus.trupay.permission.C2D_MESSAGE"
Axis Pay UPI App,20,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,com.google.android.c2dm.permission.RECEIVE,com.upi.axispay.permission.C2D_MESSAGE"
